species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MS,2021,B1,A1,F,contemporary,99.69254401867775,11.59394154265355,-44.3491747739145,-100.12836157924568,4.442179419514494
MS,2021,B1,B1,F,contemporary,87.6590538917281,50.48841252217106,7.870750866073811,-40.59303864952507,35.88494093586137
MS,2021,B1,Eldo,F,contemporary,95.45684706228525,47.56140654027699,14.465589729148016,-22.644797221065993,36.258177145052294
MB,2021,B1,A1,M,contemporary,63.67014751449935,12.1425112144626,-26.3110147459625,-64.97520372921139,6.731402080822377
MB,2021,B1,B1,M,contemporary,61.504092565973465,39.89204378856601,11.69826414661225,-21.766020550171174,27.898571609911244
MB,2021,B1,C1,M,contemporary,47.23857355383678,33.34585674629915,17.96869602631945,-5.926254418019736,21.52945994540627
MB,2021,B1,D1,M,contemporary,30.132099431797073,19.885283093947194,20.829707617139455,16.765090510840984,9.70231039331131
MS,2021,B1,A1,M,contemporary,67.48693863383495,7.956568571861754,-30.35785817863901,-68.55078206965878,3.0962404864081527
MS,2021,B1,B1,M,contemporary,59.03838016281917,34.580594005479576,5.39131401112067,-27.815743855396004,24.659939675656194
MS,2021,B1,Eldo,M,contemporary,64.14789748714779,32.11785609632107,9.920974757408942,-15.456064983205682,24.900797156326895
MB,2022,B1,A1,F,contemporary,66.57096716721384,52.29841391294939,22.682340570519,-14.324932155394874,40.1655770665445
MB,2022,B1,B1,F,contemporary,65.91246255727978,59.35659420777292,39.740245961491624,6.297676628958865,44.14372127311397
MB,2022,B1,C1,F,contemporary,53.81398689906398,40.56867460100728,37.40182912541977,19.419735159300075,25.225200760945707
MB,2022,B1,D1,F,contemporary,35.129496298458776,23.07718933723489,2.1526015397381295,-48.10528478331207,11.754233182230488
MS,2022,B1,A1,F,contemporary,98.40519732143066,69.06960711821773,25.705760293347158,-25.250340943732162,53.735610676219494
MS,2022,B1,B1,F,contemporary,87.75318034923289,78.76107902943558,46.16357981510165,-0.8875729735513704,61.41198180381373
MS,2022,B1,Eldo,F,contemporary,95.90247571989546,81.56297191800137,61.06064229630642,30.9063108708343,65.07296776937986
MB,2022,B1,A1,M,contemporary,62.42230189932307,49.17036603971103,21.33711841919295,-13.454320340296604,37.76829623233065
MB,2022,B1,B1,M,contemporary,61.7630299511986,55.79260351006673,37.36634855653567,5.925666971170943,41.5037494140676
MB,2022,B1,C1,M,contemporary,50.42997431657232,38.11444614917329,35.18157415241089,18.288774318157415,23.704871679403077
MB,2022,B1,D1,M,contemporary,32.90087171554376,21.715718824094747,2.0746416011383326,-45.176193705287346,11.070683823753374
MS,2022,B1,A1,M,contemporary,66.61141099968965,47.30544796417419,17.63967989161953,-17.258519036191963,36.83121943366557
MS,2022,B1,B1,M,contemporary,59.06675508623084,53.877993706534966,31.598887240361588,-0.6325199880637654,42.0793439741286
MS,2022,B1,Eldo,M,contemporary,64.38183640787675,55.2899867309609,41.797201021151515,21.21340078744877,44.55097113463202
