species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MS,2020,A1,B1,F,contemporary,80.75974412042939,-172.33826616759572,-237.10964978975832,-238.74383656562193,-173.06714739406652
MS,2020,A1,Eldo,F,contemporary,90.74496866535772,-174.41146806180745,-241.22527861362298,-246.01997308350195,-175.5583207960852
MB,2020,A1,A1,M,contemporary,61.65894327938775,-125.19411364928898,-125.57835497841496,-84.81486002675851,-131.1862881994805
MB,2020,A1,B1,M,contemporary,53.25306370214962,-119.91322113820983,-134.76807268503327,-113.25444878177166,-121.85484396297251
MB,2020,A1,C1,M,contemporary,48.85171037435684,-138.62620317528504,-145.617119814844,-95.82382037585877,-139.96072066915858
MB,2020,A1,D1,M,contemporary,28.898999762502743,-83.257598482826907,-142.43974141777218,-170.88025350856236,-82.1919396310983
MS,2020,A1,A1,M,contemporary,61.88567671789827,-137.54812680439858,-170.54383198434647,-126.43978532835013,-138.63677918040256
MS,2020,A1,B1,M,contemporary,54.09911877187642,-117.85689728167645,-161.872895947696,-162.20381806088315,-118.28033624464821
MS,2020,A1,Eldo,M,contemporary,60.751722172929156,-119.71995236078061,-164.66610814354624,-167.1144993216802,-120.00582207948912
MB,2021,A1,A1,F,contemporary,67.99649490764416,6.238601857004803,-39.29493944819065,-80.47394752628153,4.4941110533038096
MB,2021,A1,B1,F,contemporary,57.51837167555705,39.64526132678298,2.474196361176124,-38.51745722091039,32.248816442003594
MB,2021,A1,C1,F,contemporary,51.4353087816647,40.184105775428975,20.284725719594466,-11.085912145871266,27.358865947296078
MB,2021,A1,D1,F,contemporary,33.557832887036,23.560394158394512,24.54127499104644,21.06313191936734,11.730096416713113
MS,2021,A1,A1,F,contemporary,94.17522204239165,16.734503131142755,-37.64847998384304,-93.54814130638552,8.272851358607646
MS,2021,A1,B1,F,contemporary,80.87190235037605,53.078871185349726,13.93510543652488,-32.65628002937125,37.46584245966459
MS,2021,A1,Eldo,F,contemporary,89.7345227512449,49.33424582805249,18.984895447651475,-16.415218040302324,36.85308306407849
MB,2021,A1,A1,M,contemporary,63.72942002749888,5.862544869890735,-36.94482610483484,-75.64913024773111,4.238076150630998
MB,2021,A1,B1,M,contemporary,53.82935362443509,37.26862941301097,2.3183940954463096,-36.22505439282089,30.34128769475161
MB,2021,A1,C1,M,contemporary,48.14812136443605,37.75917708374817,19.102997916659834,-10.38886313970857,25.746913074411335
MB,2021,A1,D1,M,contemporary,31.408575037850518,22.14569880860768,23.09667977918786,19.84979415471777,11.022762858818512
MS,2021,A1,A1,M,contemporary,63.580623289321984,11.503740437376361,-25.71033941973036,-63.96319616585388,5.744150539141302
MS,2021,A1,B1,M,contemporary,54.24547417725814,36.34955604702463,9.577030941254321,-22.31806639322673,25.74311223439473
MS,2021,A1,Eldo,M,contemporary,60.071312793163145,33.291474999227546,13.0376962952968,-11.140215986262389,25.30173304834949
MB,2022,A1,A1,F,contemporary,66.88974875530035,55.3200490149651,19.843120848750146,-22.92393777662842,45.833401550550896
MB,2022,A1,B1,F,contemporary,57.475684318133204,59.124854834724964,35.32665417323984,-5.788782211349336,48.613274194549504
MB,2022,A1,C1,F,contemporary,53.833984132931185,43.925145720106805,41.83643011888439,19.674231468927424,28.774874211959485
MB,2022,A1,D1,F,contemporary,35.97661141214554,25.638342138841132,1.4987201304549767,-58.93351949123298,13.455511103494329
MS,2022,A1,A1,F,contemporary,92.53349853841054,68.94929795617266,29.380841834952136,-19.139260770968697,52.306047300515175
MS,2022,A1,B1,F,contemporary,81.07454092893347,76.89206953776399,49.02459010734109,5.369323708427948,58.927669743979074
MS,2022,A1,Eldo,F,contemporary,89.89907999515778,78.1638972196328,61.31571262979035,34.10928326301417,60.71154362186616
MB,2022,A1,A1,M,contemporary,62.69032499199779,52.00627437006314,18.660363836883132,-21.54824939597738,43.09915819418308
MB,2022,A1,B1,M,contemporary,53.78074542462455,55.56164984009657,33.20272610969277,-5.457554347239566,45.70481654749721
MB,2022,A1,C1,M,contemporary,50.4191877275765,41.26459375860058,39.352933819748415,18.52844476465018,27.041750237991078
MB,2022,A1,D1,M,contemporary,33.67700335294302,24.12564236478464,1.4644519188504324,-55.35872449632495,12.673001171712494
MS,2022,A1,A1,M,contemporary,62.46126477780926,47.194372642595276,20.170127040345587,-13.024709727772272,35.82394653789508
MS,2022,A1,B1,M,contemporary,54.34626063285722,52.550590636737674,33.55511725994665,3.6879847624094135,40.33975995358267
MS,2022,A1,Eldo,M,contemporary,60.10598214179703,52.869413197057604,41.94706540180565,23.4164642776248,41.510837916369304
MB,2023,A1,A1,F,contemporary,61.487002893890654,-25.07789424988472,-63.69087358252454,-96.90784116261469,-29.61931801247664
MB,2023,A1,B1,F,contemporary,52.036784332310944,-7.484681686481834,-48.185308702563205,-84.9452636332107,-9.969386383319668
MB,2023,A1,C1,F,contemporary,49.55488104966096,-3.545625765424038,-51.39837903654729,-97.09675375563215,-7.637910526182663
MB,2023,A1,D1,F,contemporary,27.470648485934444,19.12092805888267,13.574371342956828,-8.398298608269602,9.369684939324587
MS,2023,A1,A1,F,contemporary,84.45895364283744,-20.89919390781942,-69.37701726358775,-116.98852377173796,-30.799189564809776
MS,2023,A1,B1,F,contemporary,73.2935511927019,1.5672097584047113,-45.00230897365278,-93.61359637571827,-7.760888760366891
MS,2023,A1,Eldo,F,contemporary,78.62860815917395,-0.3258624203058135,-30.290262935003117,-60.88552163006756,-6.160187328989133
MB,2023,A1,A1,M,contemporary,57.621024432097464,-23.574290338766296,-59.8722920609871,-91.08800036360036,-27.8330002480973
MB,2023,A1,B1,M,contemporary,48.67823809672194,-7.040710831752456,-45.31173770632542,-79.8675403349968,-9.349633795107975
MB,2023,A1,C1,M,contemporary,46.3762580643497,-3.339584105696012,-48.29772107914539,-91.25164075663243,-7.135551968688231
MB,2023,A1,D1,M,contemporary,25.69233696431562,18.003310077517014,12.817155571555865,-7.835284401287972,8.83503717572941
MS,2023,A1,A1,M,contemporary,56.9719320745992,-14.228408506738075,-47.402491296112835,-79.97661449025384,-20.98174941538397
MS,2023,A1,B1,M,contemporary,49.06358168379509,1.1273678207487527,-30.760529462282687,-64.04096423959984,-5.171758888464359
MS,2023,A1,Eldo,M,contemporary,52.59739138908345,-0.5089283465859643,-20.673613278407323,-41.58260126002146,-4.099272675651013
MB,2024,A1,A1,F,contemporary,65.68352002124014,-125.6375069030804,-142.23507838474023,-120.85290632343991,-127.75002479699403
MB,2024,A1,B1,F,contemporary,58.76867701206569,-104.39251040911232,-137.0772139425105,-138.7956840048303,-103.8272115364229
MB,2024,A1,C1,F,contemporary,56.1086695007982,-102.79672886675806,-146.13862983009042,-156.82203226012646,-100.83433656512386
MB,2024,A1,D1,F,contemporary,33.28186242200487,-18.67819020447041,-72.16283859345964,-121.64257023451525,-20.85671389705608
MS,2024,A1,A1,F,contemporary,90.96741397008837,-176.48279484864477,-243.4999586352349,-244.34949105068304,-172.79337521108295
MS,2024,A1,B1,F,contemporary,83.5161939649031,-126.01118928805623,-200.711555779279,-243.82021263797938,-126.62781554816182
MS,2024,A1,Eldo,F,contemporary,92.01714631734481,-134.07846101428444,-215.2101060725538,-255.9910452003095,-134.6706236892775
MB,2024,A1,A1,M,contemporary,61.54479258335751,-118.05992617928337,-133.52409911272872,-113.2074994201164,-120.05573123006506
