shade,height,total_net_gains,avg_gains,avg_losses,hours,species,year,site_orig,site_clim,sex,year_period,filepath
0.8,0.15,5.275441326487884,0.003624072474468076,0.0012337501697612869,2207,MB,1951,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_B1.rds
NA,NA,18.798173859664715,0.010553634070137508,0.0020361107988802743,2207,MB,1951,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_B1.rds
0,0.01,15.605569199917554,0.008969376952726033,0.0018984348594240155,2207,MB,1951,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_C1.rds
0,0.15,11.132804310697097,0.0065197054781511304,0.001475389977155618,2207,MB,1951,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_C1.rds
0.3,0.03,11.894069240321485,0.006906765963196325,0.0015175184596523815,2207,MB,1951,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_C1.rds
0.8,0.01,7.820474924956031,0.004806994823797464,0.0012635082243611106,2207,MB,1951,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_C1.rds
0.8,0.15,4.388655404010405,0.0031086871200807897,0.001120170851838649,2207,MB,1951,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_C1.rds
NA,NA,24.441761118281196,0.01344650008142767,0.002371846199107237,2207,MB,1951,A1,C1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_C1.rds
0,0.01,11.298116190206128,0.0067031867848592695,0.0015839678495597094,2207,MB,1951,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_D1.rds
0,0.15,7.873929427938583,0.004869454348110531,0.0013017473123431629,2207,MB,1951,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_D1.rds
0.3,0.03,8.173582494566205,0.005016564229986765,0.0013130832628067898,2207,MB,1951,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_D1.rds
