species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MB,1955,C1,D1,F,historical,6.178214109121622,3.707586597910818,3.048390327994803,0.685916479894965,0.49700008667812623,6.380420286523076
MB,1955,C1,A1,M,historical,13.659855991896224,10.143860009942953,9.443586306984852,5.22555707105877,4.919300851120069,13.640603169966711
MB,1955,C1,B1,M,historical,10.931615741072616,7.517734875560389,7.026855533143435,3.598674532544226,3.1813699388214043,10.895628909469954
MB,1955,C1,C1,M,historical,8.4237005754018,5.047369184385859,4.4742015929824595,1.4548479699847894,1.1049537252907482,8.372781580340918
MB,1955,C1,D1,M,historical,7.280946964861775,4.464860024015774,3.707347119594472,0.9990108220011273,0.7910705509521585,7.234838358647298
MB,1956,C1,A1,F,historical,12.017154456000615,8.761512026411054,8.117447177874277,4.136889362993055,3.8391703222795277,13.628012091155487
MB,1956,C1,B1,F,historical,9.302165022991936,6.233607948943953,5.755798678023057,2.537103012408529,2.2247298050672777,9.35270540800978
MB,1956,C1,C1,F,historical,7.392173856119368,4.273734177944779,3.6847880931479793,0.8601805739739725,0.5440750340837205,7.426355875188395
MB,1956,C1,D1,F,historical,6.158991055729775,3.550988364281677,2.9942011037607945,0.5004399828177644,0.2873936407572618,6.148538853514974
MB,1956,C1,A1,M,historical,13.9821697949016,10.266892834689417,9.5270119549856,4.975154235776425,4.644066908754145,13.964383044960607
MB,1956,C1,B1,M,historical,10.869963299181798,7.371178826983716,6.821657204677453,3.14033266630831,2.791367353017921,10.871970814731716
MB,1956,C1,C1,M,historical,8.666385143065385,5.1109194376943075,4.434256263512354,1.1989393047887826,0.8457519758191684,8.618721162798622
MB,1956,C1,D1,M,historical,7.2581485326908,4.286801136081389,3.6462498320986576,0.7882990181705892,0.5535540505164754,7.222636930843763
MB,1957,C1,A1,F,historical,11.26025663936073,8.049916908437314,7.546169392893687,3.991933703107586,3.4783136365862926,13.186029855498505
MB,1957,C1,B1,F,historical,8.869859666259652,5.793000290042261,5.4937842001333355,2.6439622236954636,2.095335748113414,9.792361460499322
MB,1957,C1,C1,F,historical,6.678054082543353,3.6714520882890938,3.1894220001119264,0.7382304924533097,0.3723374244843357,7.138198086383611
MB,1957,C1,D1,F,historical,5.826392231247959,3.227661309238593,2.751055420552499,0.5795058253090625,0.2374217217018244,6.236168528457093
MB,1957,C1,A1,M,historical,13.126215902026134,9.456377300193079,8.877625181992677,4.811123609369129,4.231346682777696,13.049296300529864
MB,1957,C1,B1,M,historical,10.383432768836757,6.868721761267288,6.524248044471122,3.2627883454248336,2.6417315904057967,10.300318223297369
MB,1957,C1,C1,M,historical,7.853251411612337,4.421588435380457,3.8674811045325526,1.056926999050859,0.645116712946745,7.751875643354098
MB,1957,C1,D1,M,historical,6.880770984353073,3.9150083208820226,3.3670805392006287,0.8761716142619393,0.4915845119172988,6.784386995410697
MB,1958,C1,A1,F,historical,11.796058197228717,8.341860517990183,7.807690448386532,4.026840110494687,3.5657579286234937,13.310086200424387
MB,1958,C1,B1,F,historical,9.370866030785859,6.11046431234252,5.75309561040887,2.688622875170751,2.20947161300338,9.686688415360646
