species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg
MB,2024,D1,D1,F,contemporary,11.304541658539454,8.604998807131038,8.815123650390921,5.332957726206019,3.0918993604247635
MB,2024,D1,A1,M,contemporary,19.12729311953791,16.006273845208224,16.076103544344416,11.511832926758078,9.057163798518214
MB,2024,D1,B1,M,contemporary,15.553292472051153,12.17152224246451,11.951488362579221,7.909681258745742,6.490000501515774
MB,2024,D1,C1,M,contemporary,17.221267679384148,12.868180186974975,13.481944443452678,8.738466224141872,5.26809592317099
MB,2024,D1,D1,M,contemporary,13.219763619793873,10.083682461863253,10.323695163536827,6.325705637529194,3.7679189428552986
MS,1950,Eldo,A1,F,historical,25.303068814159666,17.73780835025194,18.625656858501465,11.668823471208963,7.00219923807185
MS,1950,Eldo,B1,F,historical,19.607236646049333,12.30651140768666,12.823330224076598,7.265503740878479,4.24932880306637
MS,1950,Eldo,Eldo,F,historical,25.66821522767494,19.355596072716285,19.96513698461384,13.178388292888092,8.76037582831922
MS,1950,Eldo,A1,M,historical,15.40312972808339,10.654105672303865,11.224471109304114,6.794725685327399,3.7908280208038923
MS,1950,Eldo,B1,M,historical,11.857210670938217,7.200107596277261,7.538646043354717,3.994180843469606,2.046344232997335
MS,1950,Eldo,Eldo,M,historical,15.578216319962745,11.655606453774517,12.048498420637406,7.737043342284395,4.895960468989786
MS,1951,Eldo,A1,F,historical,24.397931642532857,16.79544602547883,17.75990289635011,11.188980676099408,6.929177048984887
MS,1951,Eldo,B1,F,historical,18.20344497325699,11.526020954024835,11.908447871186024,6.853108897828431,4.377662670755799
MS,1951,Eldo,Eldo,F,historical,24.214257986687883,18.901016715632935,19.640563951247557,13.462966923133253,8.965393390948744
MS,1951,Eldo,A1,M,historical,14.839821033068466,10.047026899185902,10.667250670298262,6.480425610733527,3.7419038198655543
MS,1951,Eldo,B1,M,historical,10.960675874285684,6.695297271098596,6.946018499148646,3.72305476464257,2.127068286312573
MS,1951,Eldo,Eldo,M,historical,14.60653900943814,11.351184586186909,11.821292452272301,7.913224518135864,5.0264130568984875
MS,1952,Eldo,A1,F,historical,25.963177769027897,20.553883628910796,20.671919666496127,14.333702197362634,10.038937668793562
MS,1952,Eldo,B1,F,historical,20.355841891747144,15.171949103720285,14.947550921843563,9.758206401423,6.767861417609293
MS,1952,Eldo,Eldo,F,historical,26.29669344155522,23.567898283701236,23.71585474715056,17.24147180061757,12.830646054856539
MS,1952,Eldo,A1,M,historical,15.67819639140639,12.385267064495116,12.446841903695002,8.445166337361147,5.696043181503832
MS,1952,Eldo,B1,M,historical,12.221637788621631,8.9843615063413,8.832624372197944,5.5442219204679,3.618037815995257
MS,1952,Eldo,Eldo,M,historical,15.757226005958039,14.264852394076698,14.345525547785098,10.277526695517466,7.463486572622253
MS,1953,Eldo,A1,F,historical,26.29479297858287,19.2798921968364,19.80288857350443,12.558765727986115,8.61973152962636
MS,1953,Eldo,B1,F,historical,20.619751291362853,13.850834059430646,13.931270503466397,8.016993864577904,5.644098018757888
MS,1953,Eldo,Eldo,F,historical,26.16592567319605,21.225111246866476,21.409072645669472,14.50125281650297,10.775885136790507
MS,1953,Eldo,A1,M,historical,16.02473699674313,11.606354562741979,11.946829655922938,7.33192355717966,4.7905087914121545
MS,1953,Eldo,B1,M,historical,12.485839441737701,8.154801152644318,8.215346388425134,4.440388629254702,2.9020523480571563
MS,1953,Eldo,Eldo,M,historical,15.858178270571294,12.814416363986329,12.93403751916875,8.55225457637932,6.1513669199988295
MS,1954,Eldo,A1,F,historical,26.57405024339469,21.04137793051313,21.121131689704786,13.824333431601117,10.267742793338662
MS,1954,Eldo,B1,F,historical,21.300352380417312,15.602251421798803,15.348461453594497,9.454566732815575,7.2000621661715964
MS,1954,Eldo,Eldo,F,historical,28.56645033173822,23.398211642073957,23.189331614758586,15.72653405535893,12.470636660481096
MS,1954,Eldo,A1,M,historical,16.164368183903527,12.71724338773191,12.77666650846336,8.135532440718194,5.835906137607983
MS,1954,Eldo,B1,M,historical,12.8880119996515,9.262817254635864,9.1119041569481,5.355163542937892,3.8885354040273965
MS,1954,Eldo,Eldo,M,historical,17.413359664079387,14.201862069498633,14.07539406924992,9.332447725145691,7.226762616403633
MS,1955,Eldo,A1,F,historical,26.047093483671468,18.3962362482655,18.882226190864674,11.858968686741049,8.147479369846405
MS,1955,Eldo,B1,F,historical,20.146131531362368,13.381282644779422,13.498514066743546,7.935448198378695,5.498369461851578
MS,1955,Eldo,Eldo,F,historical,26.224536668140995,20.69250742979594,20.851659790424705,13.931975371238034,10.352581725494632
MS,1955,Eldo,A1,M,historical,15.900692778079572,11.05098431159406,11.368346464230187,6.889941207207077,4.495373045939214
MS,1955,Eldo,B1,M,historical,12.186788606629129,7.860712129007575,7.944562194191369,4.3953282073633835,2.8176249839720593
MS,1955,Eldo,Eldo,M,historical,15.932063000588135,12.489625679960637,12.594547798550959,8.195857522602486,5.888591579009701
MS,1956,Eldo,A1,F,historical,26.390811211977095,19.197522197683146,19.71630276660977,12.240819697249908,8.186358952305614
MS,1956,Eldo,B1,F,historical,20.28297793245466,13.42585297229356,13.491877102820416,7.514082900177379,5.1033268756564105
MS,1956,Eldo,Eldo,F,historical,26.572470466741382,21.74294977546742,21.970091679064453,14.60987542038484,10.542297729438943
MS,1956,Eldo,A1,M,historical,16.096320467746434,11.563218367736942,11.901282168818629,7.136858654128736,4.519153500900165
MS,1956,Eldo,B1,M,historical,12.280006007015997,7.890145579958698,7.942229302688271,4.126631046236564,2.561728094127661
MS,1956,Eldo,Eldo,M,historical,16.11650519767577,13.158839513693655,13.305815489746957,8.632621673987819,6.009837402265763
MS,1957,Eldo,A1,F,historical,26.10658106370394,18.401772375015213,19.34125688016024,12.527630312807915,7.993435072425563
MS,1957,Eldo,B1,F,historical,19.624234220217183,13.15209558056153,13.481663166663827,8.33546018821892,5.280254556010752
MS,1957,Eldo,Eldo,F,historical,27.48378186455657,21.189423745955956,21.969535212646164,14.711852309979951,10.045565501259839
MS,1957,Eldo,A1,M,historical,15.872860145096938,11.03770157672665,11.639738569948886,7.304295263940436,4.394736639643745
MS,1957,Eldo,B1,M,historical,11.794873324225026,7.703220511356278,7.913026368324579,4.6423354242932495,2.679003380394838
MS,1957,Eldo,Eldo,M,historical,16.71299945882935,12.804171889510416,13.304327718157454,8.68807953060269,5.686392631669483
MS,1958,Eldo,A1,F,historical,27.616130485927663,19.006722887398357,19.94667255185337,12.561459338174588,7.956696746460573
MS,1958,Eldo,B1,F,historical,20.79198827771583,13.308559833458515,13.692597139447768,7.9334256342467615,5.103800336288785
MS,1958,Eldo,Eldo,F,historical,27.675659775937657,21.583450418005256,22.31429277629116,15.10760850751363,10.249492100934816
MS,1958,Eldo,A1,M,historical,16.900148574718084,11.44783477701594,12.05399901810537,7.3420293303257615,4.375256437094758
MS,1958,Eldo,B1,M,historical,12.60613749539758,7.817705628815457,8.071350350988169,4.393414430966083,2.564959021322671
MS,1958,Eldo,Eldo,M,historical,16.831905214785277,13.063760381642963,13.531375170726244,8.951063473675562,5.825157417761459
MS,1959,Eldo,A1,F,historical,28.36276251846971,20.121275040640807,21.203560472364604,13.516919666542835,8.410310598407712
MS,1959,Eldo,B1,F,historical,22.09522455318038,14.274869084050064,14.874092535029202,8.688191806934299,5.318568969455812
MS,1959,Eldo,Eldo,F,historical,28.924797890791034,22.458724269676637,23.295352109173695,15.726012532101796,10.598423506461737
MS,1959,Eldo,A1,M,historical,17.334762657251286,12.14871183664789,12.844436117854464,7.944225134013782,4.65554938411873
MS,1959,Eldo,B1,M,historical,13.416366164015415,8.427627474719031,8.81872061491184,4.868710388498086,2.692640559421661
MS,1959,Eldo,Eldo,M,historical,17.614989316807492,13.611956805691579,14.14619582421842,9.335988452466571,6.037037182461718
