species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MB,2019,A1,B1,F,contemporary,16.89395692,13.34926449,13.40750073,9.432269168,7.476582275,23.29451079
MB,2019,A1,C1,F,contemporary,18.26345765,13.69847536,14.48130266,9.859555662,5.96111657,29.51870737
MB,2019,A1,D1,F,contemporary,14.09304049,10.08568656,10.39328103,6.376893132,3.883402112,20.12694152
MS,2019,A1,A1,F,contemporary,28.99145221,20.36425093,21.07399429,13.29740248,8.933517143,29.41679502
MS,2019,A1,B1,F,contemporary,22.07393186,14.57314639,14.75855131,8.737522791,6.019247261,23.20575672
MS,2019,A1,Eldo,F,contemporary,29.87802985,23.16212741,23.656496,15.75453874,11.31784246,30.86404625
MB,2019,A1,A1,M,contemporary,23.14030691,19.3405905,19.66390932,14.82797245,11.66078372,23.05204361
MB,2019,A1,B1,M,contemporary,19.67186784,15.58287372,15.64672996,11.08612747,8.854380161,19.72423497
MB,2019,A1,C1,M,contemporary,21.26954194,15.9667456,16.86632114,11.55363425,7.097441169,21.20123779
MB,2019,A1,D1,M,contemporary,16.44485438,11.82154236,12.17240224,7.563493461,4.717834195,16.4284443
MS,2019,A1,A1,M,contemporary,17.58339136,12.1508851,12.60940478,7.668873063,4.867359726,13.89604933
MS,2019,A1,B1,M,contemporary,13.24778748,8.477464315,8.604688139,4.778317312,3.029152097,11.47754464
MS,2019,A1,Eldo,M,contemporary,18.05471729,13.89859944,14.21613245,9.211217576,6.364695994,14.68958684
MB,2020,A1,A1,F,contemporary,19.83459405,17.56965306,17.44467073,13.27303705,11.17434505,33.14791322
MB,2020,A1,B1,F,contemporary,17.06810864,14.4874857,14.17089242,10.15808194,8.72595466,25.04319207
MB,2020,A1,C1,F,contemporary,18.01094729,14.47017688,14.85263317,10.34932415,7.031709103,29.70554835
MB,2020,A1,D1,F,contemporary,14.26374825,10.84413744,10.80685977,6.701433709,4.697419192,19.85651682
MS,2020,A1,A1,F,contemporary,29.32411135,22.21704333,22.33245163,14.35672577,10.50182651,29.4411094
MS,2020,A1,B1,F,contemporary,22.75049444,16.60413347,16.30767227,9.944659041,7.477458761,23.82297427
MS,2020,A1,Eldo,F,contemporary,29.72889208,24.66921011,24.43815313,16.68057633,12.97218411,31.1140241
MB,2020,A1,A1,M,contemporary,23.11568091,20.44595874,20.3015775,15.4946088,13.09459342,23.23620814
MB,2020,A1,B1,M,contemporary,19.89073887,16.8962337,16.52989932,11.92213729,10.28871381,20.082242
MB,2020,A1,C1,M,contemporary,20.99410946,16.86019467,17.29980287,12.11681903,8.325742868,21.0593249
MB,2020,A1,D1,M,contemporary,16.64159838,12.6953398,12.64907591,7.938560024,5.65469304,16.77022193
MS,2020,A1,A1,M,contemporary,17.76558446,13.31768654,13.40120613,8.339033915,5.853943715,13.93786975
MS,2020,A1,B1,M,contemporary,13.64462387,9.758385249,9.581980181,5.540399142,3.942385555,11.6514685
MS,2020,A1,Eldo,M,contemporary,17.92486947,14.83955418,14.69716327,9.796412968,7.408317221,14.80795291
MB,2021,A1,A1,F,contemporary,19.94327137,17.13985588,17.18154055,12.97643659,10.6534088,32.55734225
MB,2021,A1,B1,F,contemporary,17.55838351,14.25446711,14.14025773,10.01098926,8.285981759,24.52842987
MB,2021,A1,C1,F,contemporary,17.43716753,13.58193311,13.99613882,9.56113335,6.409206785,27.48550748
MB,2021,A1,D1,F,contemporary,14.9290912,11.47097563,11.63926643,7.461772459,4.955415537,22.05333248
MS,2021,A1,A1,F,contemporary,28.66253199,21.06408987,21.38868715,13.58437202,9.691357206,29.07842011
MS,2021,A1,B1,F,contemporary,23.0488298,15.78894006,15.74112587,9.279140806,6.753778764,23.97135782
MS,2021,A1,Eldo,F,contemporary,29.40300811,23.00165048,23.02071807,15.31894066,11.75918187,30.33698236
MB,2021,A1,A1,M,contemporary,23.22630644,19.94916146,19.99620845,15.15444331,12.49874961,23.27661959
MB,2021,A1,B1,M,contemporary,20.43437333,16.62385808,16.48984943,11.75150722,9.785315977,20.38847997
MB,2021,A1,C1,M,contemporary,20.32103051,15.84193006,16.31732733,11.21802929,7.616868586,20.41947487
MB,2021,A1,D1,M,contemporary,17.4263993,13.41989478,13.61158358,8.813135841,5.952702347,17.60301004
MS,2021,A1,A1,M,contemporary,17.35621353,12.58079601,12.79561952,7.839682537,5.334170143,13.91818513
MS,2021,A1,B1,M,contemporary,13.8655615,9.240153838,9.219941999,5.110460789,3.477870389,11.81298087
MS,2021,A1,Eldo,M,contemporary,17.77904304,13.78627601,13.80507177,8.923113486,6.631564763,14.51611793
MB,2022,A1,A1,F,contemporary,19.83154464,17.16045041,17.24236017,13.11428705,10.71867571,32.26361613
MB,2022,A1,B1,F,contemporary,17.16901501,13.94629289,13.85193245,9.815531112,8.114571992,24.16350986
MB,2022,A1,C1,F,contemporary,17.57921033,13.86146867,14.44230884,10.12346403,6.52929261,28.32380284
MB,2022,A1,D1,F,contemporary,14.79765196,11.49494722,11.78220759,7.794966775,4.957461911,22.86789572
MS,2022,A1,A1,F,contemporary,28.8953191,21.24462494,21.7322566,13.89108136,9.776986541,29.20526567
MS,2022,A1,B1,F,contemporary,22.61497748,15.3270711,15.36492905,9.053518815,6.534742027,23.29142712
MS,2022,A1,Eldo,F,contemporary,29.23759193,24.10620493,24.3120586,16.56311102,12.38238016,31.01026732
MB,2022,A1,A1,M,contemporary,23.10971207,19.97846965,20.07303615,15.31713131,12.57722011,23.16011453
MB,2022,A1,B1,M,contemporary,19.99075408,16.2739846,16.16323479,11.53118778,9.592636427,19.90217696
MB,2022,A1,C1,M,contemporary,20.51055888,16.16999689,16.83905978,11.86735129,7.757472383,20.84529156
MB,2022,A1,D1,M,contemporary,17.29546135,13.45249982,13.78248506,9.197352451,5.956082692,17.49723148
MS,2022,A1,A1,M,contemporary,17.48757625,12.6860796,13.00394034,8.026464442,5.379845372,13.78313813
